FB URL,Correu a lista?
https://www.facebook.com/VIDAATIVA7LAGOAS,SIM
https://www.facebook.com/anaclaudia.srcreklikgoncalves,SIM
https://www.facebook.com/lais.carvalho.3597,SIM
https://www.facebook.com/fabio.irineu.503,SIM
https://www.facebook.com/profile.php?id=100050983822841,SIM
https://www.facebook.com/NutricionistaJayaneMota,SIM
https://www.facebook.com/fernanda.dossantos.3958914,SIM
https://www.facebook.com/ana.huf.5,SIM
https://www.facebook.com/profile.php?id=100016379536376,SIM
https://www.facebook.com/giovanna.vieira.7528,SIM
https://www.facebook.com/FernandoRibeiro15,SIM
https://www.facebook.com/ivone.pereiradasilva.1,SIM
https://www.facebook.com/carolzinha.santos.79,SIM
https://www.facebook.com/roberta.wendlandpereira,SIM
https://www.facebook.com/daniel.souza.5473,SIM
https://www.facebook.com/danielecostaesilva,SIM
https://www.facebook.com/ivylla.lopes,SIM
https://www.facebook.com/carol.dezze,SIM
https://www.facebook.com/lara.cristina.77398,SIM
https://www.facebook.com/liliene.almeida.7,SIM
https://www.facebook.com/cris.costa.589,SIM
https://www.facebook.com/junior.pakito.7,SIM
https://www.facebook.com/gabi.atriz,SIM
https://www.facebook.com/luizete.portugal,SIM
https://www.facebook.com/adriana.dacostarocha,SIM
https://www.facebook.com/jaqueline.fernanda.123829,SIM
https://www.facebook.com/daydlima,SIM
https://www.facebook.com/adriane.fonseca.967,SIM
https://www.facebook.com/Joao.CarlosPereiraa,SIM
https://www.facebook.com/ana.claralbuquerque,SIM
https://www.facebook.com/daniellisaboia,SIM
https://www.facebook.com/denise.biato,SIM
https://www.facebook.com/graciele.oliveira.336,SIM
https://www.facebook.com/gabriela.botelhodelima,SIM
https://www.facebook.com/beatriz.giusti,SIM
https://www.facebook.com/jennifer0566,SIM
https://www.facebook.com/profile.php?id=100021033138015,SIM
https://www.facebook.com/blizidoro,SIM
https://www.facebook.com/agenciadora.faveni.33,SIM
https://www.facebook.com/gaby.diniz.37051,SIM
https://www.facebook.com/gessyka.ribeiro.54,SIM
https://www.facebook.com/diogo.luiz.oficial,SIM
https://www.facebook.com/profile.php?id=100011085968225,SIM
https://www.facebook.com/grazielemello.santos,SIM
https://www.facebook.com/daniele.almeidadasilva.96,SIM
https://www.facebook.com/celma.sousa.12,SIM
https://www.facebook.com/sonia.neivaditos,SIM
https://www.facebook.com/simone.deoliveira.1426,SIM
https://www.facebook.com/camila.bueno.942,SIM
https://www.facebook.com/nayara.sykes,SIM
https://www.facebook.com/jessica.neves.754,SIM
https://www.facebook.com/BiancaFragaB,SIM
https://www.facebook.com/viviane.sampaio.35,SIM
https://www.facebook.com/thaissa.detrano,SIM
https://www.facebook.com/mayse.irioda,SIM
